com.samsung.shealth.activity.day_summary,6311013,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,62950170,0,0,0,300,0,90,0,62950170,2025-05-11 15:57:15.398,10,2025-05-11 15:57:15.398,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,3ba090db-3c64-428b-8a7f-58fc88b4760e.extra_data.json,h6hg6DTKNp,0,com.sec.android.app.shealth,0,86400000,3ba090db-3c64-428b-8a7f-58fc88b4760e,2025-04-17 00:00:00.000,
0,62950170,0,0,0,300,0,90,0,62950170,2025-05-11 15:57:15.541,10,2025-05-11 15:57:15.541,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,d860bc00-225f-46c3-93bf-3c43f657b460.extra_data.json,h6hg6DTKNp,0,com.sec.android.app.shealth,0,86400000,d860bc00-225f-46c3-93bf-3c43f657b460,2025-04-16 00:00:00.000,
0,62950170,0,0,0,300,0,90,0,62950170,2025-05-11 15:57:15.657,10,2025-05-11 15:57:15.657,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,63b8ca49-1956-4b78-9ebd-f3667622d846.extra_data.json,h6hg6DTKNp,0,com.sec.android.app.shealth,0,86400000,63b8ca49-1956-4b78-9ebd-f3667622d846,2025-04-15 00:00:00.000,
0,62950170,0,0,0,300,0,90,0,62950170,2025-05-11 15:57:15.773,10,2025-05-11 15:57:15.773,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,3c9f00bf-6315-44e9-ba11-23f4a7adcaaa.extra_data.json,h6hg6DTKNp,0,com.sec.android.app.shealth,0,86400000,3c9f00bf-6315-44e9-ba11-23f4a7adcaaa,2025-04-14 00:00:00.000,
0,62950170,0,0,0,300,0,90,0,62950170,2025-05-15 15:29:39.134,10,2025-05-11 15:57:13.438,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,dc26959c-db7b-4407-aa65-f7156ac0bd96.extra_data.json,h6hg6DTKNp,0,com.sec.android.app.shealth,0,86400000,dc26959c-db7b-4407-aa65-f7156ac0bd96,2025-05-01 00:00:00.000,
0,62950170,0,0,0,300,0,90,0,62950170,2025-05-15 15:29:39.454,10,2025-05-11 15:57:13.552,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,31845cb0-25e9-4f87-b4e7-aac0b7cd06bd.extra_data.json,h6hg6DTKNp,0,com.sec.android.app.shealth,0,86400000,31845cb0-25e9-4f87-b4e7-aac0b7cd06bd,2025-04-30 00:00:00.000,
0,62950170,0,0,0,300,0,90,0,62950170,2025-05-15 15:29:38.166,10,2025-05-11 15:57:13.197,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,29e6e2bb-bf98-4d30-a048-1ef0bbc73a90.extra_data.json,h6hg6DTKNp,0,com.sec.android.app.shealth,0,86400000,29e6e2bb-bf98-4d30-a048-1ef0bbc73a90,2025-05-03 00:00:00.000,
0,62950170,0,0,0,300,0,90,0,62950170,2025-05-15 15:29:38.846,10,2025-05-11 15:57:13.319,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,87773cac-2017-499e-bbb4-f5e495303321.extra_data.json,h6hg6DTKNp,0,com.sec.android.app.shealth,0,86400000,87773cac-2017-499e-bbb4-f5e495303321,2025-05-02 00:00:00.000,
0,62950170,0,0,0,300,0,90,0,62950170,2025-05-15 15:29:41.914,10,2025-05-11 15:57:14.312,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,4eaf893f-0ba3-4b42-bbd5-5c713ff04bc2.extra_data.json,h6hg6DTKNp,0,com.sec.android.app.shealth,0,86400000,4eaf893f-0ba3-4b42-bbd5-5c713ff04bc2,2025-04-24 00:00:00.000,
0,62950170,0,0,0,300,0,90,0,62950170,2025-05-15 15:29:43.176,10,2025-05-11 15:57:14.960,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,ea9b30b9-abc5-4c8a-948a-2df760f8f700.extra_data.json,h6hg6DTKNp,0,com.sec.android.app.shealth,0,86400000,ea9b30b9-abc5-4c8a-948a-2df760f8f700,2025-04-20 00:00:00.000,
0,62950170,0,0,0,300,0,90,0,62950170,2025-05-15 15:29:37.218,10,2025-05-11 15:57:13.073,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,33c22e6b-f1d1-4713-9fa8-08ab1315fbef.extra_data.json,h6hg6DTKNp,0,com.sec.android.app.shealth,0,86400000,33c22e6b-f1d1-4713-9fa8-08ab1315fbef,2025-05-04 00:00:00.000,
0,62950170,0,0,0,300,0,90,0,62950170,2025-05-15 15:29:39.790,10,2025-05-11 15:57:13.700,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,281e6f8d-5bff-4826-9018-9a4fe156677c.extra_data.json,h6hg6DTKNp,0,com.sec.android.app.shealth,0,86400000,281e6f8d-5bff-4826-9018-9a4fe156677c,2025-04-29 00:00:00.000,
0,62950170,0,0,0,300,0,90,0,62950170,2025-05-15 15:29:40.252,10,2025-05-11 15:57:13.809,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,2caabb57-6512-4cbf-92b6-fffd66e42e8b.extra_data.json,h6hg6DTKNp,0,com.sec.android.app.shealth,0,86400000,2caabb57-6512-4cbf-92b6-fffd66e42e8b,2025-04-28 00:00:00.000,
0,62950170,0,0,0,300,0,90,0,62950170,2025-05-15 15:29:41.565,10,2025-05-11 15:57:14.180,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,1db2e4d6-680d-49ec-8614-b5e903eac976.extra_data.json,h6hg6DTKNp,0,com.sec.android.app.shealth,0,86400000,1db2e4d6-680d-49ec-8614-b5e903eac976,2025-04-25 00:00:00.000,
0,62950170,0,0,0,300,0,90,0,62950170,2025-05-15 15:29:42.758,10,2025-05-11 15:57:14.827,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,c1ad603a-1a7b-4376-8863-93e5226d3ddc.extra_data.json,h6hg6DTKNp,0,com.sec.android.app.shealth,0,86400000,c1ad603a-1a7b-4376-8863-93e5226d3ddc,2025-04-21 00:00:00.000,
0,62950170,0,0,0,300,0,90,0,62950170,2025-05-15 15:29:42.418,10,2025-05-11 15:57:14.627,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,33ef1fd9-e87c-493d-b98a-c4387b57f412.extra_data.json,h6hg6DTKNp,0,com.sec.android.app.shealth,0,86400000,33ef1fd9-e87c-493d-b98a-c4387b57f412,2025-04-22 00:00:00.000,
0,62950170,0,0,0,300,0,90,0,62950170,2025-05-15 15:29:40.729,10,2025-05-11 15:57:13.943,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,9b54c019-a61a-48dd-80e4-68d8017a67c7.extra_data.json,h6hg6DTKNp,0,com.sec.android.app.shealth,0,86400000,9b54c019-a61a-48dd-80e4-68d8017a67c7,2025-04-27 00:00:00.000,
0,62950170,0,0,0,300,0,90,0,62950170,2025-05-15 15:29:41.285,10,2025-05-11 15:57:14.059,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,763a8395-6228-430a-a0ab-681868e999de.extra_data.json,h6hg6DTKNp,0,com.sec.android.app.shealth,0,86400000,763a8395-6228-430a-a0ab-681868e999de,2025-04-26 00:00:00.000,
0,62950170,0,0,0,300,0,90,0,62950170,2025-05-15 15:29:42.195,10,2025-05-11 15:57:14.460,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,af3dfd8d-eea9-4d0f-99bc-ef655fbce6db.extra_data.json,h6hg6DTKNp,0,com.sec.android.app.shealth,0,86400000,af3dfd8d-eea9-4d0f-99bc-ef655fbce6db,2025-04-23 00:00:00.000,
0,62950170,0,0,0,300,0,90,0,62950170,2025-05-15 15:29:43.860,10,2025-05-11 15:57:15.222,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,38778bd0-fc3d-4e8d-99d5-ee7092f5918f.extra_data.json,h6hg6DTKNp,0,com.sec.android.app.shealth,0,86400000,38778bd0-fc3d-4e8d-99d5-ee7092f5918f,2025-04-18 00:00:00.000,
0,62950170,0,0,0,300,0,90,0,62950170,2025-05-15 15:29:43.492,10,2025-05-11 15:57:15.090,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,c8487201-2927-432a-80d7-cb9a2717ac80.extra_data.json,h6hg6DTKNp,0,com.sec.android.app.shealth,0,86400000,c8487201-2927-432a-80d7-cb9a2717ac80,2025-04-19 00:00:00.000,
